index,genres,keywords,popularity,revenue,title,vote_average,vote_count,cast,director,soup
33,"['adventure', 'action', 'sciencefiction', 'thriller']","['mutant', 'marvelcomic', 'basedoncomicbook', 'superhuman', 'beast']",3.857526,459359555,x-men: the last stand,6.3,3525,"['hughjackman', 'halleberry', 'ianmckellen', 'patrickstewart', 'famkejanssen']",brettratner,mutant marvelcomic basedoncomicbook superhuman beast hughjackman halleberry ianmckellen patrickstewart famkejanssen adventure action sciencefiction thriller brettratner
34,"['animation', 'family']","['monster', 'dormitory', 'games', 'animation', 'bestfriend']",89.186492,743559607,monsters university,7.0,3528,"['billycrystal', 'johngoodman', 'stevebuscemi', 'helenmirren', 'noahjohnston']",danscanlon,monster dormitory games animation bestfriend billycrystal johngoodman stevebuscemi helenmirren noahjohnston animation family danscanlon
38,"['action', 'adventure', 'fantasy']","['obsession', 'marvelcomic', 'sequel', 'basedoncomicbook', 'electrocution']",89.270217,705717432,the amazing spider-man 2,6.5,4179,"['andrewgarfield', 'emmastone', 'jamiefoxx', 'danedehaan', 'campbellscott']",marcwebb,obsession marvelcomic sequel basedoncomicbook electrocution andrewgarfield emmastone jamiefoxx danedehaan campbellscott action adventure fantasy marcwebb
39,"['adventure', 'action', 'sciencefiction']","['artificialintelligence', 'secretidentity', 'computerprogram', 'dystopia', 'computer']",73.79505,400062763,tron: legacy,6.3,2841,"['garretthedlund', 'jeffbridges', 'oliviawilde', 'bruceboxleitner', 'yayadacosta']",josephkosinski,artificialintelligence secretidentity computerprogram dystopia computer garretthedlund jeffbridges oliviawilde bruceboxleitner yayadacosta adventure action sciencefiction josephkosinski
42,"['animation', 'family', 'comedy']","['hostage', 'college', 'toy', 'barbie', 'animation']",59.99541800000001,1066969703,toy story 3,7.6,4597,"['tomhanks', 'timallen', 'nedbeatty', 'joancusack', 'michaelkeaton']",leeunkrich,hostage college toy barbie animation tomhanks timallen nedbeatty joancusack michaelkeaton animation family comedy leeunkrich
44,['action'],"['carrace', 'speed', 'revenge', 'suspense', 'car']",102.32221700000001,1506249360,furious 7,7.3,4176,"['vindiesel', 'paulwalker', 'dwaynejohnson', 'michellerodriguez', 'tyresegibson']",jameswan,carrace speed revenge suspense car vindiesel paulwalker dwaynejohnson michellerodriguez tyresegibson action jameswan
45,"['action', 'drama', 'horror', 'sciencefiction', 'thriller']","['dystopia', 'apocalypse', 'zombie', 'nuclearweapons', 'multipleperspectives']",81.834855,531865000,world war z,6.7,5560,"['bradpitt', 'mireilleenos', 'abigailhargrove', 'sterlingjerins', 'jamesbadgedale']",marcforster,dystopia apocalypse zombie nuclearweapons multipleperspectives bradpitt mireilleenos abigailhargrove sterlingjerins jamesbadgedale action drama horror sciencefiction thriller marcforster
46,"['action', 'adventure', 'fantasy', 'sciencefiction']","['1970s', 'mutant', 'timetravel', 'marvelcomic', 'basedoncomicbook']",118.07869099999999,747862775,x-men: days of future past,7.5,6032,"['hughjackman', 'jamesmcavoy', 'michaelfassbender', 'jenniferlawrence', 'halleberry']",bryansinger,1970s mutant timetravel marvelcomic basedoncomicbook hughjackman jamesmcavoy michaelfassbender jenniferlawrence halleberry action adventure fantasy sciencefiction bryansinger
47,"['action', 'adventure', 'sciencefiction']","['spacecraft', 'friendship', 'sequel', 'futuristic', 'space']",78.29101800000001,467365246,star trek into darkness,7.4,4418,"['chrispine', 'zacharyquinto', 'zoesaldana', 'karlurban', 'simonpegg']",j.j.abrams,spacecraft friendship sequel futuristic space chrispine zacharyquinto zoesaldana karlurban simonpegg action adventure sciencefiction j.j.abrams
49,"['drama', 'romance']","['basedonnovel', 'infidelity', 'obsession', 'hope', '3d']",61.196070999999996,351040419,the great gatsby,7.3,3769,"['leonardodicaprio', 'tobeymaguire', 'careymulligan', 'joeledgerton', 'elizabethdebicki']",bazluhrmann,basedonnovel infidelity obsession hope 3d leonardodicaprio tobeymaguire careymulligan joeledgerton elizabethdebicki drama romance bazluhrmann
50,"['adventure', 'fantasy', 'action', 'romance']","['persia', 'sandstorm', 'brotheragainstbrother', 'armageddon', 'regent']",62.169881000000004,335154643,prince of persia: the sands of time,6.2,2317,"['jakegyllenhaal', 'gemmaarterton', 'benkingsley', 'alfredmolina', 'stevetoussaint']",mikenewell,persia sandstorm brotheragainstbrother armageddon regent jakegyllenhaal gemmaarterton benkingsley alfredmolina stevetoussaint adventure fantasy action romance mikenewell
51,"['action', 'sciencefiction', 'adventure']","['dystopia', 'giantrobot', 'giantmonster', 'apocalypse', 'imax']",56.523205000000004,407602906,pacific rim,6.7,4794,"['idriselba', 'charliehunnam', 'charlieday', 'ronperlman', 'burngorman']",guillermodeltoro,dystopia giantrobot giantmonster apocalypse imax idriselba charliehunnam charlieday ronperlman burngorman action sciencefiction adventure guillermodeltoro
52,"['action', 'sciencefiction', 'adventure']","['moon', 'spacecraft', 'traitor', 'bodyguard', 'alienplanet']",28.529607000000002,1123746996,transformers: dark of the moon,6.1,3299,"['shialabeouf', 'johnmalkovich', 'kenjeong', 'francesmcdormand', 'joshduhamel']",michaelbay,moon spacecraft traitor bodyguard alienplanet shialabeouf johnmalkovich kenjeong francesmcdormand joshduhamel action sciencefiction adventure michaelbay
54,"['adventure', 'animation', 'family']","['tyrannosaurusrex', 'friends', 'alternatehistory', 'dinosaur', 'fear']",51.692953,331926147,the good dinosaur,6.6,1736,"['raymondochoa', 'jackbright', 'jeffreywright', 'francesmcdormand', 'maleahnipay-padilla']",petersohn,tyrannosaurusrex friends alternatehistory dinosaur fear raymondochoa jackbright jeffreywright francesmcdormand maleahnipay-padilla adventure animation family petersohn
55,"['animation', 'adventure', 'comedy', 'family', 'action']","['scotland', 'rebel', 'bravery', 'kingdom', 'archer']",125.114374,538983207,brave,6.7,4641,"['kellymacdonald', 'juliewalters', 'billyconnolly', 'emmathompson', 'kevinmckidd']",stevepurcell,scotland rebel bravery kingdom archer kellymacdonald juliewalters billyconnolly emmathompson kevinmckidd animation adventure comedy family action stevepurcell
56,"['action', 'adventure', 'sciencefiction']","['sequel', 'stranded', 'hatred', 'spaceopera']",65.352913,343471816,star trek beyond,6.6,2568,"['chrispine', 'zacharyquinto', 'karlurban', 'simonpegg', 'zoesaldana']",justinlin,sequel stranded hatred spaceopera chrispine zacharyquinto karlurban simonpegg zoesaldana action adventure sciencefiction justinlin
57,"['animation', 'family']",['romanticcomedy'],66.390712,521311860,wall·e,7.8,6296,"['benburtt', 'elissaknight', 'jeffgarlin', 'fredwillard', 'johnratzenberger']",andrewstanton,romanticcomedy benburtt elissaknight jeffgarlin fredwillard johnratzenberger animation family andrewstanton
58,"['action', 'comedy', 'crime', 'thriller']",['ambassador'],22.57178,258022233,rush hour 3,6.1,783,"['christucker', 'jackiechan', 'hiroyukisanada', 'maxvonsydow', 'yvanattal']",brettratner,ambassador christucker jackiechan hiroyukisanada maxvonsydow yvanattal action comedy crime thriller brettratner
60,"['animation', 'drama']","['holiday', 'basedonnovel', 'victorianengland', 'money', 'christmaseve']",39.744242,325233863,a christmas carol,6.6,1095,"['garyoldman', 'jimcarrey', 'stevevalentine', 'darylsabara', 'sageryan']",robertzemeckis,holiday basedonnovel victorianengland money christmaseve garyoldman jimcarrey stevevalentine darylsabara sageryan animation drama robertzemeckis
63,"['adventure', 'family', 'fantasy']","['savingtheworld', 'witch', 'basedonnovel', 'brothersisterrelationship', 'selfsacrifice']",67.391328,748806957,"the chronicles of narnia: the lion, the witch and the wardrobe",6.7,2629,"['williammoseley', 'annapopplewell', 'skandarkeynes', 'georgiehenley', 'liamneeson']",andrewadamson,savingtheworld witch basedonnovel brothersisterrelationship selfsacrifice williammoseley annapopplewell skandarkeynes georgiehenley liamneeson adventure family fantasy andrewadamson
64,['sciencefiction'],"['mutant', 'supernaturalpowers', 'marvelcomic', 'superhero', 'basedoncomicbook']",139.272042,543934787,x-men: apocalypse,6.4,4721,"['jamesmcavoy', 'michaelfassbender', 'jenniferlawrence', 'nicholashoult', 'oscarisaac']",bryansinger,mutant supernaturalpowers marvelcomic superhero basedoncomicbook jamesmcavoy michaelfassbender jenniferlawrence nicholashoult oscarisaac sciencefiction bryansinger
65,"['drama', 'action', 'crime', 'thriller']","['dccomics', 'crimefighter', 'secretidentity', 'scarecrow', 'sadism']",187.322927,1004558444,the dark knight,8.2,12002,"['christianbale', 'heathledger', 'aaroneckhart', 'michaelcaine', 'maggiegyllenhaal']",christophernolan,dccomics crimefighter secretidentity scarecrow sadism christianbale heathledger aaroneckhart michaelcaine maggiegyllenhaal drama action crime thriller christophernolan
66,"['animation', 'comedy', 'family', 'adventure']","['agedifference', 'centralandsouthamerica', 'balloon', 'animation', 'floatingintheair']",92.201962,735099082,up,7.7,6870,"['edasner', 'christopherplummer', 'jordannagai', 'bobpeterson', 'delroylindo']",petedocter,agedifference centralandsouthamerica balloon animation floatingintheair edasner christopherplummer jordannagai bobpeterson delroylindo animation comedy family adventure petedocter
68,"['action', 'sciencefiction', 'adventure']","['middleeast', 'armsdealer', 'malibu', 'marvelcomic', 'superhero']",120.725053,585174222,iron man,7.4,8776,"['robertdowneyjr.', 'terrencehoward', 'jeffbridges', 'shauntoub', 'gwynethpaltrow']",jonfavreau,middleeast armsdealer malibu marvelcomic superhero robertdowneyjr. terrencehoward jeffbridges shauntoub gwynethpaltrow action sciencefiction adventure jonfavreau
69,"['adventure', 'drama', 'family']","['library', 'clock', 'filmdirector', 'key', 'toy']",32.319043,185770160,hugo,7.0,2141,"['benkingsley', 'sachabaroncohen', 'asabutterfield', 'chloëgracemoretz', 'raywinstone']",martinscorsese,library clock filmdirector key toy benkingsley sachabaroncohen asabutterfield chloëgracemoretz raywinstone adventure drama family martinscorsese
74,"['action', 'sciencefiction']","['dejavu', 'timewarp', 'restart', 'dystopia', 'war']",79.456485,370541256,edge of tomorrow,7.6,4858,"['tomcruise', 'emilyblunt', 'brendangleeson', 'billpaxton', 'jonasarmstrong']",dougliman,dejavu timewarp restart dystopia war tomcruise emilyblunt brendangleeson billpaxton jonasarmstrong action sciencefiction dougliman
77,"['drama', 'comedy', 'animation', 'family']","['dream', 'cartoon', 'imaginaryfriend', 'animation', 'family']",128.65596399999998,857611174,inside out,8.0,6560,"['amypoehler', 'phyllissmith', 'richardkind', 'billhader', 'lewisblack']",petedocter,dream cartoon imaginaryfriend animation family amypoehler phyllissmith richardkind billhader lewisblack drama comedy animation family petedocter
78,"['family', 'adventure', 'drama', 'fantasy']","['basedonnovel', 'snake', 'wolf', 'elephant', 'tiger']",94.19931600000001,966550600,the jungle book,6.7,2892,"['neelsethi', 'billmurray', 'benkingsley', 'idriselba', 'scarlettjohansson']",jonfavreau,basedonnovel snake wolf elephant tiger neelsethi billmurray benkingsley idriselba scarlettjohansson family adventure drama fantasy jonfavreau
79,"['adventure', 'action', 'sciencefiction']","['malibu', 'marvelcomic', 'superhero', 'basedoncomicbook', 'revenge']",77.30019399999999,623933331,iron man 2,6.6,6849,"['robertdowneyjr.', 'gwynethpaltrow', 'doncheadle', 'scarlettjohansson', 'mickeyrourke']",jonfavreau,malibu marvelcomic superhero basedoncomicbook revenge robertdowneyjr. gwynethpaltrow doncheadle scarlettjohansson mickeyrourke adventure action sciencefiction jonfavreau
81,"['fantasy', 'adventure', 'action', 'family', 'romance']","['fairytale', 'villain', 'sleepingbeauty', 'darkfantasy', 'basedonfairytale']",110.62064699999999,758539785,maleficent,7.0,4496,"['angelinajolie', 'ellefanning', 'sharltocopley', 'samriley', 'junotemple']",robertstromberg,fairytale villain sleepingbeauty darkfantasy basedonfairytale angelinajolie ellefanning sharltocopley samriley junotemple fantasy adventure action family romance robertstromberg
82,"['sciencefiction', 'action', 'drama', 'thriller']","['leader', 'colony', 'post-apocalyptic', 'dystopia', 'forest']",243.79174300000003,710644566,dawn of the planet of the apes,7.3,4410,"['andyserkis', 'jasonclarke', 'garyoldman', 'kerirussell', 'tobykebbell']",mattreeves,leader colony post-apocalyptic dystopia forest andyserkis jasonclarke garyoldman kerirussell tobykebbell sciencefiction action drama thriller mattreeves
85,"['action', 'adventure', 'sciencefiction']","['washingtond.c.', 'future', 'shield', 'marvelcomic', 'superhero']",72.22526500000001,714766572,captain america: the winter soldier,7.6,5764,"['chrisevans', 'samuell.jackson', 'scarlettjohansson', 'robertredford', 'sebastianstan']",joerusso,washingtond.c. future shield marvelcomic superhero chrisevans samuell.jackson scarlettjohansson robertredford sebastianstan action adventure sciencefiction joerusso
87,"['adventure', 'family', 'mystery', 'sciencefiction']","['inventor', 'apocalypse', 'destiny', 'imax', 'dreamer']",130.311355,209154322,tomorrowland,6.2,2846,"['brittrobertson', 'georgeclooney', 'raffeycassidy', 'thomasrobinson', 'hughlaurie']",bradbird,inventor apocalypse destiny imax dreamer brittrobertson georgeclooney raffeycassidy thomasrobinson hughlaurie adventure family mystery sciencefiction bradbird
88,"['adventure', 'family', 'animation', 'action', 'comedy']","['brotherbrotherrelationship', 'hero', 'talent', 'revenge', 'bestfriend']",203.73459,652105443,big hero 6,7.8,6135,"['scottadsit', 'ryanpotter', 'danielhenney', 't.j.miller', 'jamiechung']",donhall,brotherbrotherrelationship hero talent revenge bestfriend scottadsit ryanpotter danielhenney t.j.miller jamiechung adventure family animation action comedy donhall
89,"['family', 'animation', 'comedy', 'adventure']","['supportgroup', 'productplacement', 'bullying', 'racing', 'arcade']",62.341073,471222889,wreck-it ralph,7.1,4570,"['johnc.reilly', 'sarahsilverman', 'jackmcbrayer', 'janelynch', 'alantudyk']",richmoore,supportgroup productplacement bullying racing arcade johnc.reilly sarahsilverman jackmcbrayer janelynch alantudyk family animation comedy adventure richmoore
90,"['adventure', 'animation', 'family', 'fantasy']","['santaclaus', 'nerd', 'faith', 'gift', 'bell']",47.323228,305875730,the polar express,6.4,1474,"['tomhanks', 'michaeljeter', 'nonagaye', 'peterscolari', 'eddiedeezen']",robertzemeckis,santaclaus nerd faith gift bell tomhanks michaeljeter nonagaye peterscolari eddiedeezen adventure animation family fantasy robertzemeckis
92,"['fantasy', 'adventure', 'animation', 'family']","['flying', 'blacksmith', 'arena', 'island', 'night']",67.263269,494878759,how to train your dragon,7.5,4227,"['jaybaruchel', 'gerardbutler', 'craigferguson', 'americaferrera', 'jonahhill']",deandeblois,flying blacksmith arena island night jaybaruchel gerardbutler craigferguson americaferrera jonahhill fantasy adventure animation family deandeblois
94,"['action', 'sciencefiction', 'adventure']","['marvelcomic', 'spaceship', 'space', 'outerspace', 'orphan']",481.09862400000003,773328629,guardians of the galaxy,7.9,9742,"['chrispratt', 'zoesaldana', 'davebautista', 'vindiesel', 'bradleycooper']",jamesgunn,marvelcomic spaceship space outerspace orphan chrispratt zoesaldana davebautista vindiesel bradleycooper action sciencefiction adventure jamesgunn
95,"['adventure', 'drama', 'sciencefiction']","['savingtheworld', 'artificialintelligence', 'fathersonrelationship', 'singleparent', 'nasa']",724.247784,675120017,interstellar,8.1,10867,"['matthewmcconaughey', 'jessicachastain', 'annehathaway', 'michaelcaine', 'caseyaffleck']",christophernolan,savingtheworld artificialintelligence fathersonrelationship singleparent nasa matthewmcconaughey jessicachastain annehathaway michaelcaine caseyaffleck adventure drama sciencefiction christophernolan
96,"['action', 'thriller', 'sciencefiction', 'mystery', 'adventure']","['lossoflover', 'dream', 'kidnapping', 'sleep', 'subconsciousness']",167.58371,825532764,inception,8.1,13752,"['leonardodicaprio', 'josephgordon-levitt', 'ellenpage', 'tomhardy', 'kenwatanabe']",christophernolan,lossoflover dream kidnapping sleep subconsciousness leonardodicaprio josephgordon-levitt ellenpage tomhardy kenwatanabe action thriller sciencefiction mystery adventure christophernolan
97,"['action', 'adventure', 'drama', 'horror', 'sciencefiction']","['monster', 'godzilla', 'giantmonster', 'destruction', 'kaiju']",9.476999000000001,77000000,shin godzilla,6.5,143,"['hirokihasegawa', 'yutakatakenouchi', 'satomiishihara', 'kengokora', 'matsuosatoru']",shinjihiguchi,monster godzilla giantmonster destruction kaiju hirokihasegawa yutakatakenouchi satomiishihara kengokora matsuosatoru action adventure drama horror sciencefiction shinjihiguchi
98,"['adventure', 'fantasy', 'action']","['riddle', 'elves', 'dwarves', 'orcs', 'middle-earth(tolkien)']",108.849621,1021103568,the hobbit: an unexpected journey,7.0,8297,"['ianmckellen', 'martinfreeman', 'richardarmitage', 'andyserkis', 'cateblanchett']",peterjackson,riddle elves dwarves orcs middle-earth(tolkien) ianmckellen martinfreeman richardarmitage andyserkis cateblanchett adventure fantasy action peterjackson
99,"['action', 'crime', 'thriller']","['streetgang', 'carrace', 'undercover', 'auto-tuning', 'losangeles']",6.909942,207283925,the fast and the furious,6.6,3428,"['paulwalker', 'vindiesel', 'michellerodriguez', 'jordanabrewster', 'rickyune']",robcohen,streetgang carrace undercover auto-tuning losangeles paulwalker vindiesel michellerodriguez jordanabrewster rickyune action crime thriller robcohen
